SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,Yes,Yes,65,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),94.55,6078.75,0
0,No,No,26,No,No,Yes,Yes,Month-to-month,No,Electronic check,35.75,1022.5,0
0,Yes,No,68,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.2,6297.65,0
0,No,No,3,No,Yes,No,No,Month-to-month,No,Electronic check,84.3,235.05,0
0,Yes,No,49,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.65,2070.75,0
1,Yes,No,64,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),97.0,6430.9,0
0,No,No,7,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),64.3,445.95,0
0,No,No,22,No,Yes,No,No,Month-to-month,Yes,Mailed check,93.2,2157.3,0
0,Yes,Yes,31,No,No,Yes,Yes,Month-to-month,No,Mailed check,54.35,1647.0,0
0,No,No,6,No,No,Yes,No,Month-to-month,Yes,Electronic check,47.95,305.1,1
0,No,Yes,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.2,19.2,0
0,No,No,6,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.05,434.5,1
0,No,No,12,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.8,1001.2,0
0,Yes,No,61,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,6751.35,0
0,No,No,43,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.65,779.25,0
1,No,No,30,No,No,Yes,No,Month-to-month,Yes,Electronic check,40.3,1172.95,1
0,No,No,22,No,Yes,No,Yes,One year,Yes,Credit card (automatic),55.15,1193.05,1
0,Yes,Yes,52,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.05,1255.1,0
0,No,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,56.25,56.25,1
0,No,No,57,No,Yes,No,Yes,One year,No,Electronic check,94.7,5468.95,0
0,Yes,No,72,No,Yes,Yes,No,Two year,Yes,Electronic check,54.2,3937.45,1
0,No,No,42,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0
0,Yes,Yes,15,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.8,272.95,0
0,Yes,Yes,64,Yes,Yes,No,No,Month-to-month,No,Electronic check,81.05,5135.35,0
1,Yes,Yes,47,No,Yes,No,No,One year,Yes,Bank transfer (automatic),84.95,4018.05,0
0,Yes,Yes,2,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),29.05,44.75,0
0,No,No,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0
0,No,No,1,Yes,No,No,No,Month-to-month,Yes,Mailed check,50.7,50.7,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.1,8248.5,0
0,Yes,Yes,32,Yes,No,No,No,Month-to-month,No,Electronic check,89.6,2901.8,0
1,Yes,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,74.45,1
0,Yes,No,71,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),47.6,3377.8,0
0,Yes,Yes,15,Yes,No,No,No,Month-to-month,No,Mailed check,75.1,1151.55,0
0,Yes,No,47,No,No,No,No,One year,Yes,Credit card (automatic),95.2,4563.0,0
0,Yes,Yes,34,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),97.7,3410.0,0
0,Yes,Yes,50,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.9,1
0,No,No,10,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.0,198.7,0
1,No,No,8,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.1,729.95,1
0,Yes,Yes,23,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,436.9,0
0,No,No,7,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.9,490.55,0
0,Yes,No,23,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.25,1968.1,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.95,6652.45,0
0,No,No,30,No,No,No,Yes,Month-to-month,No,Electronic check,85.15,2555.9,1
1,Yes,No,31,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),50.4,1580.1,0
